image_path,booking_id,itinerary_id,trace_token
ss/failure_18367044_14463508_074B4C43E3444E06B0EADB07BE37774D_ParkGuell.jpeg,18367044,14463508,074B4C43E3444E06B0EADB07BE37774D
ss/failure_18366361_14462843_1A590116E3E04DB18E0F3C5A17CB4C61_ParkGuell.jpeg,18366361,14462843,1A590116E3E04DB18E0F3C5A17CB4C61
ss/failure_18366192_14462678_DCE182D8C398433FB8BB71FB39C45EB7_ParkGuell.jpeg,18366192,14462678,DCE182D8C398433FB8BB71FB39C45EB7
ss/failure_18366148_14462634_CC8AFC6A5A284CD88950893813AD81BC_ParkGuell.jpeg,18366148,14462634,CC8AFC6A5A284CD88950893813AD81BC
ss/failure_18365794_14462286_54D8EB33682146D7995AF45B4D5E2564_ParkGuell.jpeg,18365794,14462286,54D8EB33682146D7995AF45B4D5E2564
ss/failure_18365022_14461567_1B36E0A991E947788FA656E42944BFAA_Seville Cathedral Official.jpeg,18365022,14461567,1B36E0A991E947788FA656E42944BFAA
ss/failure_18365022_14461567_5626139AFB7B4613BD7D82A7D8621A6B_Seville Cathedral Official.jpeg,18365022,14461567,5626139AFB7B4613BD7D82A7D8621A6B
ss/failure_18364571_14461133_A84DE6D1E0AD45A09A687B11302A7CD4_Alcazar.jpeg,18364571,14461133,A84DE6D1E0AD45A09A687B11302A7CD4
ss/failure_18364372_14460940_81B3C162D73749E7ABA969E6C30987E0_ParkGuell.jpeg,18364372,14460940,81B3C162D73749E7ABA969E6C30987E0
ss/failure_18364302_14460873_EC830D6088ED492F9875150462A3A160_BudapestSpa.jpeg,18364302,14460873,EC830D6088ED492F9875150462A3A160
ss/failure_18363519_14460114_6BBD8A22615F42509142ECE23BD06F41_BudapestSpa.jpeg,18363519,14460114,6BBD8A22615F42509142ECE23BD06F41
ss/failure_18361858_14458518_1C67C994B8C64323826C12E38C8E26B8_ParkGuell.jpeg,18361858,14458518,1C67C994B8C64323826C12E38C8E26B8
ss/failure_18361963_14458618_70E2A9B9987D4317A6BCB7E8164D3B7F_ParkGuell.jpeg,18361963,14458618,70E2A9B9987D4317A6BCB7E8164D3B7F
ss/failure_18361375_14458053_82EF9EFA565E4FA1ACA32F3896881FED_ParkGuell.jpeg,18361375,14458053,82EF9EFA565E4FA1ACA32F3896881FED
ss/failure_18359729_14456473_B05182FB080B4E4CA16F3DEDBC06B27F_Acropolis.jpeg,18359729,14456473,B05182FB080B4E4CA16F3DEDBC06B27F
ss/failure_18360103_14456835_54A747551B5B4B9FA016C14D9621C3C3_Acropolis.jpeg,18360103,14456835,54A747551B5B4B9FA016C14D9621C3C3
ss/failure_18360266_14456997_14B04714555B41F188CFF78A916D510B_ParkGuell.jpeg,18360266,14456997,14B04714555B41F188CFF78A916D510B
ss/failure_18359740_14456484_89B4F41FFFCC4A639DB58760A745203E_Acropolis.jpeg,18359740,14456484,89B4F41FFFCC4A639DB58760A745203E
